index,date,times,is_camp,contents,contents_type,work_type
1,2018-04-07,87,0,ゼロから作るDeep Learningの読書,機械学習,読書
2,2018-06-09,89,0,pandasを触る,データ分析,コーディング
3,2018-09-29,92,0,Bokehを使った野球データの可視化,データ分析,コーディング
4,2018-10-27,93,0,Django Girls Tutorialをやる,web,チュートリアル
5,2018-12-22,94,0,DjangoとVueでカンバンボード,web,チュートリアル
6,2019-01-18,95,1,DjangoとVueでカンバンボード,web,チュートリアル
7,2019-02-16,96,0,Dockerを使ったDjangoの環境構築、django-import-exportを使ったデータ取り込み,web,コーディング
8,2019-03-23,97,0,BaseBallPlayStudyのLTの資料作り（Jupyter使ったデータ分析）,データ分析,資料作り
9,2019-05-25,99,0,DRFを触るのと、DjangoからJupyterを開く設定の作業,web,コーディング
10,2019-06-22,100,0,django-pandasとか使ったりしてDjangoとデータ分析,データ分析,コーディング
11,2019-07-12,101,1,Vue.jsとDjangoを使った選手名鑑アプリの作成,web,コーディング
12,2019-08-10,102,0,PyConJPスタッフ業とJupyter Notebookのスライド表示を試す,その他,資料作り
13,2019-09-07,103,0,PyConJPのスライド作成とレビュー,データ分析,資料作り
14,2019-10-19,104,0,（午前のみ）OCRを試してみる,データ分析,コーディング
15,2019-11-30,105,0,OCRをPyOCRで試してみる,データ分析,コーディング
16,2019-12-14,106,0,OCRをPythonのライブラリやGoogle Vision APIで,データ分析,コーディング
17,2020-01-17,107,1,選手名鑑アプリの改修,web,コーディング
18,2020-02-01,108,0,野球と統計の本の読書,データ分析,読書
19,2020-03-07,109,0,野球と統計の本の読書,データ分析,読書
20,2020-04-04,110,0,(online)野球と統計の本の読書,データ分析,読書
21,2020-05-09,111,0,前処理大全の読書,データ分析,読書
22,2020-06-13,112,0,前処理大全の読書,データ分析,読書
23,2020-07-23,113,1,エキスパートPythonの読書,全般,読書
24,2020-08-08,114,0,エキスパートPythonの読書,全般,読書
25,2020-09-26,115,0,elasticsearchの本の読書,データ分析,読書
26,2020-10-17,116,0,elasticsearchの本の読書,データ分析,読書
27,2020-11-07,117,0,elasticsearchの本の読書,データ分析,読書
28,2020-12-12,118,0,svelteのチュートリアル,その他,チュートリアル
29,2021-02-13,120,0,tweepyを使ってゲームのツイートを集める,データ分析,コーディング
30,2021-03-13,121,0,MLBのデータを集約してデータ分析,データ分析,コーディング
31,2021-05-08,123,0,MLBのデータを集約してデータ分析,データ分析,コーディング
32,2021-06-12,124,0,Pythonサーバレスアプリ開発入門の読書,web,読書
33,2021-07-22,125,1,Pythonサーバレスアプリ開発入門の読書,web,読書
34,2021-08-21,126,0,プログラミングのための数学の読書,数学,読書
35,2021-09-18,127,0,プログラミングのための数学の読書,数学,読書
36,2021-10-02,128,0,PCのセットアップとプログラミングのための数学の読書,データ分析,読書
37,2021-11-06,129,0,fastapiのチュートリアル,web,チュートリアル
38,2021-12-18,130,0,fastapiのチュートリアル,web,チュートリアル
39,2022-01-14,131,1,機械学習の本の読書,機械学習,読書
40,2022-02-05,132,0,プログラミングのための数学の読書,数学,読書
41,2022-03-05,133,0,tweepyアプリの改修（Stream Listenerの導入）,データ分析,コーディング
42,2022-04-02,134,0,tweepyアプリとサーバレスアプリの改修（新PCの立ち上げ）,データ分析,コーディング
43,2022-06-11,136,0,テスト駆動Pythonの読書,全般,読書
44,2022-07-15,137,1,テスト駆動Pythonの読書,全般,読書
45,2022-08-20,138,0,PyScriptをSPAと組み合わせてみる,web,コーディング
46,2022-09-10,139,0,PyScriptをSPAと組み合わせてみる,web,コーディング
47,2022-10-08,140,0,Bolt for Pythonの入門ガイドに着手,ツール開発,チュートリアル
48,2022-11-26,141,0,独学コンピューターサイエンティストの読書,データ分析,読書
49,2022-12-17,142,0,独学コンピューターサイエンティストの読書,データ分析,読書
50,2023-01-13,143,1,独学コンピューターサイエンティストの残り,データ分析,読書
51,2023-02-04,144,0,Pythonからはじめるアルゴリズムトレードの読書,データ分析,読書
52,2023-03-04,145,0,RealWorldHTTPの写経,その他,読書
53,2023-04-15,146,0,RealWorldHTTPの写経,その他,読書
54,2023-05-13,147,0,書籍レビュー,その他,レビュー
55,2023-06-03,148,0,pyhackconの資料作成,その他,資料作り